City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,11.73,91,65,2.42,NZ,1683590288
1,adamstown,-25.066,-130.1015,21.53,56,100,5.46,PN,1683590293
2,yasothon,15.75,104.1333,29.46,69,100,2.73,TH,1683590299
3,port-aux-francais,-49.35,70.2167,6.34,95,100,19.75,TF,1683590305
4,broken hill,-31.95,141.4333,11.7,63,1,6.41,AU,1683590310
5,puerto natales,-51.7236,-72.4875,5.76,83,90,3.83,CL,1683590115
6,edinburgh of the seven seas,-37.0676,-12.3116,15.34,69,100,6.85,SH,1683590321
7,nedroma,35.0136,-1.748,17.27,50,22,1.6,DZ,1683590327
8,yunfu,22.9306,112.0373,20.7,93,100,1.41,CN,1683590333
9,fortuna,40.5982,-124.1573,16.51,65,40,3.09,US,1683590338
10,lompoc,34.6391,-120.4579,22.08,75,20,12.52,US,1683590344
11,west island,-12.1568,96.8225,26.99,94,40,2.57,CC,1683590350
12,wailua homesteads,22.0669,-159.378,28.24,69,75,7.72,US,1683590355
13,alice springs,-23.7,133.8833,9.75,50,0,4.12,AU,1683590361
14,ust-nera,64.5667,143.2,1.41,59,94,1.99,RU,1683590367
15,newman,37.3138,-121.0208,24.02,46,21,2.24,US,1683590372
16,bich'vinta,43.1592,40.3378,13.1,94,100,2.39,GE,1683590378
17,chadan,51.2833,91.5833,9.14,77,95,1.31,RU,1683590383
18,ushuaia,-54.8,-68.3,8.81,57,75,6.17,AR,1683590116
19,cidreira,-30.1811,-50.2056,17.63,80,55,3.87,BR,1683590395
20,olonkinbyen,70.9221,-8.7187,2.15,100,100,1.92,SJ,1683590400
21,crane,31.3974,-102.3501,33.79,8,0,1.3,US,1683590407
22,tiksi,71.6872,128.8694,-8.48,81,83,6.89,RU,1683590423
23,flying fish cove,-10.4217,105.6791,26.82,89,75,4.12,CX,1683590431
24,haiku-pauwela,20.9219,-156.3051,29.01,45,20,9.26,US,1683590437
25,grytviken,-54.2811,-36.5092,-0.27,71,11,3.07,GS,1683590387
26,boa vista,2.8197,-60.6733,28.99,74,40,2.57,BR,1683590323
27,makoua,0.0069,15.6333,22.83,98,100,1.35,CG,1683590455
28,constantia,44.1833,28.65,9.38,87,100,5.59,RO,1683590249
29,crucecita,-28.95,-58.9833,16.35,70,0,1.1,AR,1683590466
30,longyearbyen,78.2186,15.6401,-2.09,86,75,1.03,SJ,1683590472
31,gamba,-2.65,10.0,25.66,88,79,1.62,GA,1683590478
32,alofi,-19.0595,-169.9187,26.11,77,53,2.46,NU,1683590463
33,vila velha,-20.3297,-40.2925,22.97,99,75,1.54,BR,1683590476
34,tver,56.8619,35.8931,1.9,70,30,1.86,RU,1683590496
35,buturlino,55.5667,44.8974,1.52,69,8,1.44,RU,1683590502
36,ilulissat,69.2167,-51.1,-0.99,86,100,2.57,GL,1683590493
37,hamilton,39.1834,-84.5333,23.39,69,82,0.89,US,1683590414
38,blackmans bay,-43.0167,147.3167,13.74,70,92,5.55,AU,1683590519
39,bethel,41.3712,-73.414,20.27,59,49,2.93,US,1683590525
40,hasaki,35.7333,140.8333,15.22,57,100,8.12,JP,1683590530
41,whitehorse,60.7161,-135.0538,12.23,27,20,5.14,CA,1683590397
42,zemun,44.8431,20.4011,10.01,78,0,3.6,RS,1683590550
43,udachny,66.4167,112.4,0.25,63,100,11.46,RU,1683590511
44,ribeira grande,38.5167,-28.7,15.99,94,99,1.34,PT,1683590415
45,nova xavantina,-14.6667,-52.35,23.13,68,97,1.3,BR,1683590505
46,powell river,49.8496,-124.5361,17.79,59,75,4.12,CA,1683590558
47,puerto ayora,-0.7393,-90.3518,26.97,94,63,1.79,EC,1683590578
48,susuman,62.7833,148.1667,1.61,88,82,1.31,RU,1683590458
49,harnosand,62.6323,17.9379,1.0,74,90,3.64,SE,1683590596
50,waitangi,-43.9535,-176.5597,16.57,94,100,4.02,NZ,1683590602
51,yishui,35.7847,118.6281,18.14,31,100,0.88,CN,1683590607
52,papatowai,-46.5619,169.4708,12.79,94,100,3.67,NZ,1683590497
53,st. john's,47.5649,-52.7093,6.55,93,100,9.77,CA,1683590618
54,chonchi,-42.6128,-73.8092,8.4,89,100,0.81,CL,1683590624
55,aykhal,66.0,111.5,-0.25,98,100,10.76,RU,1683590630
56,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,56,75,6.0,RU,1683590635
57,san patricio,28.017,-97.5169,28.99,74,63,6.18,US,1683590390
58,midvagur,62.0511,-7.1939,8.46,100,100,3.09,FO,1683590653
59,okhotsk,59.3833,143.3,3.53,72,49,0.93,RU,1683590659
60,al abyar,32.19,20.5965,18.44,42,64,7.64,LY,1683590665
61,yellowknife,62.456,-114.3525,14.29,47,75,5.14,CA,1683590494
62,new norfolk,-42.7826,147.0587,14.4,61,99,1.34,AU,1683590512
63,rio grande,-32.035,-52.0986,19.06,80,0,4.63,BR,1683590471
64,pandan,14.0453,124.1694,28.8,72,75,0.83,PH,1683590688
65,margaret river,-33.95,115.0667,17.1,53,93,6.63,AU,1683590615
66,wewak,-3.5534,143.6268,28.08,81,90,1.53,PG,1683590700
67,wagar,16.1525,36.2032,27.79,24,5,4.4,SD,1683590705
68,santa terezinha,-29.9002,-50.0904,18.06,77,71,4.29,BR,1683590712
69,college,64.8569,-147.8028,12.97,41,40,2.06,US,1683590717
70,la passe,45.5549,-0.8967,14.43,82,100,2.65,FR,1683590724
71,lebu,-37.6167,-73.65,10.31,77,93,5.91,CL,1683590730
72,farafangana,-22.8167,47.8333,21.38,88,8,0.88,MG,1683590736
73,el calafate,-50.3408,-72.2768,6.18,85,30,3.64,AR,1683590741
74,port augusta,-32.5,137.7667,14.84,62,0,2.77,AU,1683590747
75,kodiak,57.79,-152.4072,2.73,93,100,14.4,US,1683590752
76,anadyr,64.75,177.4833,-1.72,79,100,6.0,RU,1683590763
77,mount isa,-20.7333,139.5,14.87,25,1,5.66,AU,1683590472
78,hancheng,32.5186,112.3522,18.12,55,17,2.57,CN,1683590774
79,bougouni,11.417,-7.479,28.03,54,95,1.45,ML,1683590780
80,miles city,46.4083,-105.8406,21.54,21,75,3.6,US,1683590786
81,el alto,-4.2714,-81.2147,24.81,78,17,7.19,PE,1683590792
82,saint-philippe,-21.3585,55.7679,23.77,79,84,4.05,RE,1683590546
83,tindouf,27.6711,-8.1474,28.61,15,0,4.52,DZ,1683590803
84,sandnessjoen,66.0217,12.6316,8.69,55,100,0.45,NO,1683590809
85,souillac,-20.5167,57.5167,24.35,80,92,4.84,MU,1683590814
86,badger,64.8,-147.5333,12.93,36,40,2.06,US,1683590820
87,puerto lleras,3.0223,-73.4044,23.35,95,89,0.75,CO,1683590826
88,pionerskiy,54.9508,20.2275,6.53,62,10,4.56,RU,1683590832
89,hotan,37.0997,79.9269,11.15,16,100,2.2,CN,1683590837
90,chumphon,10.3333,98.8333,24.44,91,84,0.2,TH,1683590843
91,impfondo,1.6381,18.0667,23.21,80,91,1.58,CG,1683590849
92,dazhou,31.2159,107.5009,15.74,96,100,1.52,CN,1683590855
93,tvoroyri,61.5556,-6.8111,9.26,87,100,5.02,FO,1683590860
94,stanley,54.868,-1.6985,12.06,92,76,3.03,GB,1683590866
95,maryville,35.7565,-83.9705,24.14,81,100,3.6,US,1683590871
96,fort bragg,35.139,-79.006,26.75,57,75,3.09,US,1683590877
97,nar'yan-mar,67.6713,53.087,-0.69,86,100,6.27,RU,1683590883
98,mubi,10.2676,13.2644,29.48,35,31,0.84,NG,1683590889
99,arris,35.2588,6.3471,9.23,84,31,5.63,DZ,1683590894
100,ungsang-nodongjagu,42.3578,130.4622,15.21,29,0,6.3,KP,1683590900
101,atafu village,-8.5421,-172.5159,29.01,77,10,6.17,TK,1683590906
102,colonia,50.9333,6.95,16.36,85,100,3.09,DE,1683590799
103,ancud,-41.8697,-73.8203,8.66,84,100,1.26,CL,1683590917
104,port douglas,-16.4833,145.4667,24.33,68,82,8.01,AU,1683590855
105,linden,6.0,-58.3,23.92,95,93,1.26,GY,1683590929
106,georgetown,5.4112,100.3354,27.96,83,20,0.0,MY,1683590901
107,beichengqu,40.4394,113.1536,16.2,34,99,2.26,CN,1683590945
108,mount gambier,-37.8333,140.7667,14.55,71,86,3.87,AU,1683590951
109,thompson,55.7435,-97.8558,20.28,37,2,2.81,CA,1683590957
110,jayapura,-2.5333,140.7,28.66,93,100,2.29,ID,1683590963
